id,key,value,type
65419414,highway,traffic_signals,regular
65419426,highway,traffic_signals,regular
65419437,highway,traffic_signals,regular
65419442,highway,traffic_signals,regular
65419468,highway,traffic_signals,regular
65419772,highway,turning_circle,regular
65419907,source,Yahoo,regular
65419907,highway,turning_circle,regular
65420003,highway,turning_circle,regular
65420081,highway,turning_circle,regular
65420426,highway,traffic_signals,regular
65420444,highway,traffic_signals,regular
65420446,highway,traffic_signals,regular
65420449,highway,traffic_signals,regular
65420455,highway,traffic_signals,regular
65421070,highway,turning_circle,regular
65421082,highway,turning_circle,regular
65421144,highway,traffic_signals,regular
65421892,highway,turning_circle,regular
65422045,highway,turning_circle,regular
65422580,highway,traffic_signals,regular
65422727,highway,turning_circle,regular
65422868,highway,turning_circle,regular
65423057,highway,turning_circle,regular
65423127,highway,turning_circle,regular
65423358,highway,turning_circle,regular
65423397,highway,turning_circle,regular
65423498,highway,turning_circle,regular
65423808,highway,turning_circle,regular
65424540,highway,turning_circle,regular
65424611,highway,traffic_signals,regular
65424617,highway,turning_circle,regular
65424851,highway,turning_circle,regular
65425223,highway,traffic_signals,regular
65425234,highway,traffic_signals,regular
65425428,highway,traffic_signals,regular
65425428,traffic_signals,signal,regular
65425850,highway,traffic_signals,regular
65425850,traffic_signals,signal,regular
65425892,highway,turning_circle,regular
65425900,highway,turning_circle,regular
65426258,highway,traffic_signals,regular
65426261,highway,traffic_signals,regular
65426264,highway,traffic_signals,regular
65426266,highway,traffic_signals,regular
65426280,highway,traffic_signals,regular
65426282,highway,traffic_signals,regular
65426392,highway,turning_circle,regular
65426431,highway,turning_circle,regular
65426533,highway,turning_circle,regular
65427143,source,Yahoo,regular
65427143,highway,turning_circle,regular
65427195,highway,turning_circle,regular
65427365,highway,turning_circle,regular
65427712,highway,turning_circle,regular
65427721,highway,turning_circle,regular
65427731,highway,turning_circle,regular
65427822,highway,turning_circle,regular
65427850,highway,turning_circle,regular
65428077,highway,turning_circle,regular
65428172,highway,turning_circle,regular
65428173,highway,turning_circle,regular
65428426,highway,turning_circle,regular
65428632,highway,turning_circle,regular
65428679,highway,turning_circle,regular
65428724,noexit,yes,regular
65428724,highway,turning_circle,regular
65428854,highway,turning_circle,regular
65428899,highway,traffic_signals,regular
65428899,traffic_signals,signal,regular
65428924,noexit,yes,regular
65428932,source,Yahoo,regular
65428932,highway,turning_circle,regular
65429312,highway,turning_circle,regular
65429373,highway,turning_circle,regular
65429479,highway,turning_circle,regular
65429482,highway,turning_circle,regular
65429746,highway,turning_circle,regular
65429752,highway,traffic_signals,regular
65430055,highway,traffic_signals,regular
65430274,highway,stop,regular
65430289,highway,turning_circle,regular
65430586,highway,turning_circle,regular
65430671,highway,turning_circle,regular
65430676,highway,turning_circle,regular
65430850,highway,traffic_signals,regular
65430879,highway,traffic_signals,regular
65430886,highway,traffic_signals,regular
65430911,highway,traffic_signals,regular
65430931,highway,traffic_signals,regular
65430982,highway,traffic_signals,regular
65430985,highway,traffic_signals,regular
65430988,highway,traffic_signals,regular
65430993,highway,traffic_signals,regular
65431000,highway,traffic_signals,regular
65431148,highway,turning_circle,regular
65431328,highway,turning_circle,regular
65431488,highway,turning_circle,regular
65432001,highway,traffic_signals,regular
65432018,highway,traffic_signals,regular
65432024,highway,traffic_signals,regular
65432033,highway,turning_circle,regular
65432081,highway,turning_circle,regular
65432742,highway,turning_circle,regular
65432979,highway,turning_circle,regular
65432997,highway,stop,regular
65433128,highway,turning_circle,regular
65433249,highway,traffic_signals,regular
65433267,highway,stop,regular
65433657,highway,turning_circle,regular
65433766,highway,turning_circle,regular
65433773,highway,turning_circle,regular
65434149,highway,turning_circle,regular
65434324,highway,turning_circle,regular
65434463,highway,turning_circle,regular
65434481,highway,turning_circle,regular
65435017,highway,turning_circle,regular
65435241,highway,turning_circle,regular
65436058,highway,turning_circle,regular
65436073,noexit,yes,regular
65436143,source,Yahoo,regular
65436143,highway,turning_circle,regular
65436210,highway,turning_circle,regular
65436212,highway,turning_circle,regular
65436479,highway,turning_circle,regular
65436507,highway,turning_circle,regular
65436514,highway,turning_circle,regular
65436539,highway,turning_circle,regular
65436592,highway,turning_circle,regular
65436631,noexit,yes,regular
65436633,noexit,yes,regular
65436934,highway,turning_circle,regular
65437321,highway,turning_circle,regular
65437375,highway,turning_circle,regular
65437595,highway,turning_circle,regular
65437631,highway,turning_circle,regular
65437787,highway,turning_circle,regular
65437849,highway,turning_circle,regular
65438357,noexit,yes,regular
65438912,highway,turning_circle,regular
65438939,highway,turning_circle,regular
65438958,highway,turning_circle,regular
65439013,noexit,yes,regular
65439136,highway,turning_circle,regular
65439313,highway,turning_circle,regular
65439323,highway,traffic_signals,regular
65439444,noexit,yes,regular
65440097,highway,turning_circle,regular
65440255,highway,turning_circle,regular
65440273,stop,both,regular
65440273,highway,stop,regular
65440426,highway,turning_circle,regular
65440482,highway,turning_circle,regular
65440943,highway,traffic_signals,regular
65440948,highway,traffic_signals,regular
65440954,highway,turning_circle,regular
65441041,highway,turning_circle,regular
65441097,highway,turning_circle,regular
65441281,highway,turning_circle,regular
65441713,highway,turning_circle,regular
65441990,highway,turning_circle,regular
65442402,highway,turning_circle,regular
65442582,highway,turning_circle,regular
65442647,highway,turning_circle,regular
65442659,highway,turning_circle,regular
65442744,highway,turning_circle,regular
65443013,highway,turning_circle,regular
65443335,highway,turning_circle,regular
65443344,highway,turning_circle,regular
65443412,highway,turning_circle,regular
65443743,highway,turning_circle,regular
65443845,highway,turning_circle,regular
65444016,highway,turning_circle,regular
65444047,highway,turning_circle,regular
65444174,highway,turning_circle,regular
65445026,highway,turning_circle,regular
65445041,highway,traffic_signals,regular
65445253,highway,turning_circle,regular
65445309,highway,turning_circle,regular
65445592,source,Yahoo,regular
65445592,highway,traffic_signals,regular
65445598,highway,traffic_signals,regular
65445676,highway,traffic_signals,regular
65446453,highway,turning_circle,regular
65446464,highway,turning_circle,regular
65446632,highway,turning_circle,regular
65446648,highway,turning_circle,regular
65446970,highway,turning_circle,regular
65447027,highway,turning_circle,regular
65447036,highway,turning_circle,regular
65447419,highway,turning_circle,regular
65447464,highway,turning_circle,regular
65447861,highway,traffic_signals,regular
65447874,highway,turning_circle,regular
65447896,highway,turning_circle,regular
65448741,highway,turning_circle,regular
65448748,highway,turning_circle,regular
65449003,highway,turning_circle,regular
65449056,highway,turning_circle,regular
65449073,highway,traffic_signals,regular
65449314,highway,turning_circle,regular
65449348,highway,traffic_signals,regular
65449363,highway,traffic_signals,regular
65449375,highway,crossing,regular
65449390,noexit,yes,regular
65449552,highway,stop,regular
65449599,highway,turning_circle,regular
65449903,highway,traffic_signals,regular
65450723,highway,turning_circle,regular
65450840,highway,turning_circle,regular
65451036,lanes,2,regular
65451036,highway,turning_circle,regular
65451036,surface,asphalt,regular
65451060,highway,turning_circle,regular
65451357,highway,turning_circle,regular
65451582,highway,traffic_signals,regular
65451727,highway,turning_circle,regular
65451861,highway,turning_circle,regular
65451972,highway,turning_circle,regular
65452126,highway,turning_circle,regular
65452210,noexit,yes,regular
65452231,highway,turning_circle,regular
65452648,highway,turning_circle,regular
65452676,highway,turning_circle,regular
65452733,highway,traffic_signals,regular
65452741,highway,traffic_signals,regular
65452756,highway,traffic_signals,regular
65452756,traffic_signals,signal,regular
65452764,highway,traffic_signals,regular
65452764,traffic_signals,signal,regular
65452783,highway,traffic_signals,regular
65452784,highway,traffic_signals,regular
65452808,highway,traffic_signals,regular
65452808,traffic_signals,signal,regular
65452812,highway,traffic_signals,regular
65452813,highway,traffic_signals,regular
65452813,source,Bing,regular
65452965,highway,turning_circle,regular
65453022,noexit,yes,regular
65453048,highway,turning_circle,regular
65453268,junction,roundabout,regular
65453352,noexit,yes,regular
65453746,highway,turning_circle,regular
65454155,noexit,yes,regular
65454265,highway,turning_circle,regular
65454362,highway,turning_circle,regular
65454369,highway,turning_circle,regular
65454499,source,Yahoo,regular
65454499,highway,turning_circle,regular
65454507,highway,turning_circle,regular
65454516,noexit,yes,regular
65455027,highway,turning_circle,regular
65455190,highway,turning_circle,regular
65455200,highway,turning_circle,regular
65455529,highway,turning_circle,regular
65455787,highway,turning_circle,regular
65456068,highway,turning_circle,regular
65456120,highway,crossing,regular
65456120,crossing,zebra,regular
65456747,highway,traffic_signals,regular
65456833,highway,turning_circle,regular
65456971,highway,turning_circle,regular
65457021,highway,turning_circle,regular
65457152,highway,turning_circle,regular
65457233,highway,turning_circle,regular
65457254,highway,traffic_signals,regular
65457377,highway,turning_circle,regular
65457431,highway,turning_circle,regular
65457447,foot,yes,regular
65457447,barrier,gate,regular
65457447,bicycle,no,regular
65457449,highway,turning_circle,regular
65457535,highway,turning_circle,regular
65457699,highway,turning_circle,regular
65457704,highway,turning_circle,regular
65457711,highway,turning_circle,regular
65458202,highway,turning_circle,regular
65458222,highway,turning_circle,regular
65458365,highway,stop,regular
65458899,highway,turning_circle,regular
65459010,highway,traffic_signals,regular
65459123,noexit,yes,regular
65459217,source,Tiger2009,regular
65459217,STATEFP,06,regular
65459217,highway,turning_circle,regular
65459217,COUNTYFP,085,regular
65459217,Tiger:MTFCC,C3061,regular
65459249,highway,turning_circle,regular
65459396,highway,turning_circle,regular
65459465,highway,turning_circle,regular
65459482,highway,turning_circle,regular
65459490,highway,turning_circle,regular
65459544,highway,turning_circle,regular
65459833,highway,traffic_signals,regular
65459835,highway,traffic_signals,regular
65459857,highway,traffic_signals,regular
65459863,highway,traffic_signals,regular
65459869,highway,traffic_signals,regular
65460129,junction,roundabout,regular
65460169,highway,turning_circle,regular
65460543,highway,turning_circle,regular
65460546,highway,traffic_signals,regular
65460549,highway,traffic_signals,regular
65460881,highway,turning_circle,regular
65460886,highway,turning_circle,regular
65460904,highway,turning_circle,regular
65461071,highway,turning_circle,regular
65461436,highway,turning_circle,regular
65461672,highway,turning_circle,regular
65461732,highway,turning_circle,regular
65461843,highway,turning_circle,regular
65462083,highway,turning_circle,regular
65462134,highway,turning_circle,regular
65462139,highway,turning_circle,regular
65462701,highway,turning_circle,regular
65462703,highway,turning_circle,regular
65462938,highway,turning_circle,regular
65462959,highway,turning_circle,regular
65462976,source,Yahoo,regular
65462976,highway,traffic_signals,regular
65462986,source,Yahoo,regular
65462986,highway,stop,regular
65463030,highway,turning_circle,regular
65463141,highway,turning_circle,regular
65463299,source,Tiger2009,regular
65463299,STATEFP,06,regular
65463299,highway,turning_circle,regular
65463299,COUNTYFP,085,regular
65463299,Tiger:MTFCC,C3061,regular
65463314,highway,turning_circle,regular
65463327,highway,turning_circle,regular
65463477,noexit,yes,regular
65463544,highway,turning_circle,regular
65463548,highway,turning_circle,regular
65463585,highway,turning_circle,regular
65463715,highway,turning_circle,regular
65463846,highway,turning_circle,regular
65463863,highway,turning_circle,regular
65464481,highway,turning_circle,regular
65464934,highway,stop,regular
65464937,highway,turning_circle,regular
65465086,highway,traffic_signals,regular
65465159,highway,turning_circle,regular
65465249,highway,turning_circle,regular
65465352,highway,turning_circle,regular
65465468,highway,traffic_signals,regular
65465480,noexit,yes,regular
65465638,highway,traffic_signals,regular
65465642,noexit,yes,regular
65466304,highway,turning_circle,regular
65466358,highway,turning_circle,regular
65466362,highway,turning_circle,regular
65466410,highway,traffic_signals,regular
65466413,highway,traffic_signals,regular
65466414,highway,traffic_signals,regular
65466423,highway,traffic_signals,regular
65466424,highway,traffic_signals,regular
65466513,highway,turning_circle,regular
65466530,highway,turning_circle,regular
65466614,highway,turning_circle,regular
65466659,highway,turning_circle,regular
65467060,highway,crossing,regular
65467060,crossing,zebra,regular
65467457,highway,turning_circle,regular
65467538,highway,turning_circle,regular
65467597,highway,stop,regular
65467602,highway,stop,regular
65467672,highway,traffic_signals,regular
65467697,highway,turning_circle,regular
65467710,highway,turning_circle,regular
65467956,highway,turning_circle,regular
65468023,highway,traffic_signals,regular
65468104,highway,stop,regular
65468126,noexit,yes,regular
65468420,highway,traffic_signals,regular
65468440,highway,traffic_signals,regular
65468448,highway,traffic_signals,regular
65468537,highway,turning_circle,regular
65468642,highway,turning_circle,regular
65468678,highway,turning_loop,regular
65468849,highway,traffic_signals,regular
65468851,highway,traffic_signals,regular
65468857,highway,traffic_signals,regular
65468873,source,Yahoo,regular
65468873,highway,traffic_signals,regular
65468916,highway,traffic_signals,regular
65469141,noexit,yes,regular
65469159,highway,traffic_signals,regular
65469159,traffic_signals,signal,regular
65469162,highway,traffic_signals,regular
65469162,traffic_signals,signal,regular
65469169,highway,traffic_signals,regular
65469169,traffic_signals,signal,regular
65469194,highway,traffic_signals,regular
65469248,highway,traffic_signals,regular
65469268,highway,traffic_signals,regular
65469271,highway,traffic_signals,regular
65469274,highway,traffic_signals,regular
65469346,highway,turning_circle,regular
65469372,source,Yahoo,regular
65469372,highway,turning_circle,regular
65469398,highway,turning_circle,regular
65469400,highway,turning_circle,regular
65469549,noexit,yes,regular
65469781,source,Yahoo,regular
65469781,highway,traffic_signals,regular
65469788,source,Yahoo,regular
65469788,highway,traffic_signals,regular
65469865,highway,turning_circle,regular
65469959,highway,turning_circle,regular
65470400,highway,turning_circle,regular
65470465,highway,turning_circle,regular
65470883,highway,turning_circle,regular
65470937,highway,turning_circle,regular
65471292,noexit,yes,regular
65471481,highway,turning_circle,regular
65471500,highway,turning_circle,regular
65471735,highway,turning_circle,regular
65471753,highway,turning_circle,regular
65472076,highway,turning_circle,regular
65472197,highway,turning_circle,regular
65472416,highway,turning_circle,regular
65472524,highway,turning_circle,regular
65472830,highway,turning_circle,regular
65473204,highway,turning_circle,regular
65473328,highway,turning_circle,regular
65473672,highway,turning_circle,regular
65473679,highway,turning_circle,regular
65473685,highway,turning_circle,regular
65473823,highway,turning_circle,regular
65473827,highway,turning_circle,regular
65473831,junction,roundabout,regular
65474091,highway,turning_circle,regular
65474260,highway,turning_circle,regular
65474334,highway,turning_circle,regular
65474438,highway,turning_circle,regular
65474590,highway,turning_circle,regular
65474622,highway,turning_circle,regular
65474919,highway,turning_circle,regular
65475630,highway,turning_circle,regular
65475700,highway,traffic_signals,regular
65475905,highway,stop,regular
65475914,highway,stop,regular
65476016,highway,turning_circle,regular
65476612,highway,traffic_signals,regular
65476615,highway,traffic_signals,regular
65476619,highway,traffic_signals,regular
65476621,highway,crossing,regular
65476621,crossing,zebra,regular
65476624,highway,traffic_signals,regular
65476624,crossing,zebra,regular
65476632,highway,traffic_signals,regular
65476634,highway,traffic_signals,regular
65476636,highway,traffic_signals,regular
65476645,highway,traffic_signals,regular
65476647,highway,traffic_signals,regular
65476725,highway,turning_circle,regular
65476775,highway,traffic_signals,regular
65476831,highway,turning_circle,regular
65476863,highway,turning_circle,regular
65477049,highway,turning_circle,regular
65477987,railway,level_crossing,regular
65478181,railway,level_crossing,regular
65478325,railway,level_crossing,regular
65478834,railway,level_crossing,regular
65478847,railway,crossing,regular
65478917,name,Race,regular
65478917,network,VTA,regular
65478917,railway,tram_stop,regular
65478917,public_transport,stop_position,regular
65478963,railway,level_crossing,regular
65478969,railway,level_crossing,regular
65478971,name,Campbell,regular
65478971,network,VTA,regular
65478971,railway,tram_stop,regular
65478971,public_transport,stop_position,regular
65478978,railway,level_crossing,regular
65478987,name,Winchester,regular
65478987,network,VTA,regular
65478987,railway,tram_stop,regular
65478987,public_transport,stop_position,regular
65479097,railway,level_crossing,regular
65479727,railway,level_crossing,regular
65480109,highway,turning_circle,regular
65480149,highway,turning_circle,regular
65480895,highway,turning_circle,regular
65481175,highway,turning_circle,regular
65481316,highway,turning_circle,regular
65481941,highway,turning_circle,regular
65482585,highway,traffic_signals,regular
65482739,highway,turning_circle,regular
65482860,highway,turning_circle,regular
65482886,source,Yahoo,regular
65482886,highway,turning_circle,regular
65482896,source,Yahoo,regular
65482896,highway,turning_circle,regular
65483505,highway,turning_circle,regular
65483614,highway,traffic_signals,regular
65483679,highway,turning_circle,regular
65483836,highway,turning_circle,regular
65483864,highway,stop,regular
65483875,highway,stop,regular
65483888,barrier,gate,regular
65484345,highway,turning_circle,regular
65484520,highway,turning_circle,regular
65484600,highway,turning_circle,regular
65484832,barrier,gate,regular
65484868,highway,turning_circle,regular
65484870,highway,turning_circle,regular
65484872,highway,turning_circle,regular
65485205,highway,turning_circle,regular
65485468,highway,turning_circle,regular
65485559,source,Yahoo,regular
65485559,highway,turning_circle,regular
65485598,name,Andy's Restaurant,regular
65485598,amenity,restaurant,regular
65485598,cuisine,chinese,regular
65485630,highway,turning_circle,regular
65485892,highway,turning_circle,regular
65486050,highway,turning_circle,regular
65487186,highway,turning_circle,regular
65487205,highway,turning_circle,regular
65487322,highway,turning_circle,regular
65487330,highway,turning_circle,regular
65487649,highway,traffic_signals,regular
65487676,highway,turning_circle,regular
65488082,noexit,yes,regular
65488338,stop,both,regular
65488419,highway,traffic_signals,regular
65488436,highway,turning_circle,regular
65488465,highway,turning_circle,regular
65488534,highway,turning_circle,regular
65488751,highway,turning_circle,regular
65488980,highway,turning_circle,regular
65488996,highway,turning_circle,regular
65489068,highway,turning_circle,regular
65489111,highway,turning_circle,regular
65489274,highway,turning_circle,regular
65489285,highway,turning_circle,regular
65489528,highway,traffic_signals,regular
65489559,highway,traffic_signals,regular
65489975,highway,turning_circle,regular
65490327,highway,turning_circle,regular
65490926,highway,turning_circle,regular
65491140,highway,turning_circle,regular
65491489,highway,turning_circle,regular
65491491,highway,turning_circle,regular
65491712,highway,turning_circle,regular
65491750,noexit,yes,regular
65491781,highway,turning_circle,regular
65491790,source,Yahoo,regular
65491790,highway,turning_circle,regular
65491889,highway,turning_circle,regular
65491896,junction,roundabout,regular
65491901,junction,roundabout,regular
65491939,highway,traffic_signals,regular
65491956,highway,turning_circle,regular
65492020,stop,both,regular
65492020,highway,stop,regular
65492025,highway,turning_circle,regular
65492371,highway,turning_circle,regular
65492490,highway,turning_circle,regular
65493269,highway,traffic_signals,regular
65493769,highway,stop,regular
65493776,highway,traffic_signals,regular
65493935,highway,traffic_signals,regular
65493935,traffic_signals,signal,regular
65493997,highway,turning_circle,regular
65495000,highway,turning_circle,regular
65495030,source,Yahoo,regular
65495030,railway,level_crossing,regular
65495050,railway,level_crossing,regular
65495064,highway,traffic_signals,regular
65495069,highway,traffic_signals,regular
65495242,highway,turning_circle,regular
65495369,highway,turning_circle,regular
65495541,ref,1,regular
65495541,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eighteightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eighteightysouth.pdf,regular
65495541,highway,motorway_junction,regular
65495541,left,CA 17;Santa Cruz;I-280,exit_to
65496038,highway,turning_circle,regular
65496143,highway,roundabout,regular
65496268,highway,turning_circle,regular
65496371,highway,turning_circle,regular
65496373,highway,turning_circle,regular
65496628,source,Yahoo,regular
65496628,highway,turning_circle,regular
65496967,highway,turning_circle,regular
65497329,highway,turning_circle,regular
65497354,highway,traffic_signals,regular
65497379,highway,traffic_signals,regular
65497383,source,Yahoo,regular
65497383,highway,traffic_signals,regular
65497395,source,Yahoo,regular
65497395,highway,traffic_signals,regular
65497525,junction,roundabout,regular
65497700,highway,traffic_signals,regular
65497712,highway,traffic_signals,regular
65497721,highway,traffic_signals,regular
65497838,source,Yahoo,regular
65497838,highway,turning_circle,regular
65497952,highway,turning_circle,regular
65498025,highway,turning_circle,regular
65498175,highway,turning_circle,regular
65498798,highway,turning_circle,regular
65499105,highway,turning_circle,regular
65499107,highway,turning_circle,regular
65499325,noexit,yes,regular
65499790,highway,turning_circle,regular
65499916,highway,turning_circle,regular
65499935,highway,turning_circle,regular
65499992,highway,turning_circle,regular
65500012,highway,turning_circle,regular
65500015,highway,turning_circle,regular
65500017,highway,turning_circle,regular
65500148,source,Yahoo,regular
65500148,highway,stop,regular
65500188,highway,traffic_signals,regular
65500223,highway,turning_circle,regular
65500228,highway,traffic_signals,regular
65500269,highway,traffic_signals,regular
65500291,highway,traffic_signals,regular
65500296,highway,traffic_signals,regular
65500305,highway,traffic_signals,regular
65500310,highway,traffic_signals,regular
65500336,highway,traffic_signals,regular
65500360,highway,traffic_signals,regular
65500363,highway,traffic_signals,regular
65500617,noexit,yes,regular
65500718,railway,level_crossing,regular
65500720,highway,traffic_signals,regular
65501222,highway,turning_circle,regular
65501235,source,Bing,regular
65501235,highway,stop,regular
65501270,highway,turning_circle,regular
65501400,highway,turning_circle,regular
65501508,source,Yahoo,regular
65501508,highway,traffic_signals,regular
65501510,source,Yahoo,regular
65501510,highway,traffic_signals,regular
65501745,highway,turning_circle,regular
65501992,highway,turning_circle,regular
65502044,highway,turning_circle,regular
65502074,highway,turning_circle,regular
65502084,highway,turning_circle,regular
65502427,highway,turning_circle,regular
65502931,highway,turning_circle,regular
65502991,highway,turning_circle,regular
65503112,highway,turning_circle,regular
65503260,highway,turning_circle,regular
65503272,highway,turning_circle,regular
65503286,highway,turning_circle,regular
65503317,highway,turning_circle,regular
65503339,highway,turning_circle,regular
65503576,highway,turning_circle,regular
65503629,highway,turning_circle,regular
65503717,highway,traffic_signals,regular
65504080,highway,turning_circle,regular
65504157,highway,turning_circle,regular
65504177,highway,turning_circle,regular
65504405,highway,turning_circle,regular
65504530,source,Yahoo,regular
65504530,highway,traffic_signals,regular
65504710,highway,turning_circle,regular
65504810,highway,turning_circle,regular
65504844,highway,turning_circle,regular
65504880,source,Yahoo,regular
65504880,highway,turning_circle,regular
65504921,source,Yahoo,regular
65504921,highway,traffic_signals,regular
65504921,junction,signals,regular
65504975,highway,traffic_signals,regular
65505448,highway,turning_circle,regular
65505463,highway,turning_circle,regular
65505634,highway,turning_circle,regular
65506180,highway,traffic_signals,regular
65506840,highway,turning_circle,regular
65506960,highway,turning_circle,regular
65506983,highway,traffic_signals,regular
65507276,highway,traffic_signals,regular
65507292,highway,stop,regular
65507552,highway,traffic_signals,regular
65507593,highway,turning_circle,regular
65507650,highway,turning_circle,regular
65507703,highway,turning_circle,regular
65507803,highway,traffic_signals,regular
65507807,highway,crossing,regular
65507807,crossing,zebra,regular
65508057,highway,turning_circle,regular
65508067,highway,turning_circle,regular
65508164,highway,turning_circle,regular
65508962,highway,traffic_signals,regular
65508965,highway,traffic_signals,regular
65508975,highway,traffic_signals,regular
65508999,highway,traffic_signals,regular
65509158,highway,turning_circle,regular
65509528,highway,turning_circle,regular
65510089,highway,turning_circle,regular
65510124,highway,traffic_signals,regular
65510176,source,Tiger2009,regular
65510176,STATEFP,06,regular
65510176,highway,turning_circle,regular
65510176,COUNTYFP,085,regular
65510176,Tiger:MTFCC,C3061,regular
65510437,highway,turning_circle,regular
65511026,highway,turning_circle,regular
65511108,highway,turning_circle,regular
65511393,highway,turning_circle,regular
65511468,highway,turning_circle,regular
65512416,highway,turning_circle,regular
65512450,highway,turning_circle,regular
65512881,highway,turning_circle,regular
65512961,highway,turning_circle,regular
